종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"051900","LG생활건강","KOSPI",,"1620000","1000","0.06","1626000","1628000","1607000","26149","42315932000","25301479140000","15618197"
"051905","LG생활건강우","KOSPI",,"718000","12000","1.70","706000","718000","701000","11327","8048442000","1507582446000","2099697"
"003555","LG우","KOSPI",,"66900","100","0.15","66800","67400","65400","57115","3789344500","221751891300","3314677"
"032640","LG유플러스","KOSPI",,"11750","50","0.43","11750","11800","11650","1956554","22932162600","5130183491750","436611361"
"011070","LG이노텍","KOSPI",,"182500","-1000","-0.54","182500","183500","179500","257042","46799702000","4319247027500","23667107"
"066570","LG전자","KOSPI",,"135000","3500","2.66","128000","136000","128000","1533422","203318845500","22092454890000","163647814"
"066575","LG전자우","KOSPI",,"63800","3000","4.93","61500","63800","59800","950246","58535576300","1096466289600","17185992"
"108670","LG하우시스","KOSPI",,"78000","1900","2.50","76800","78700","75800","94503","7350743300","699478260000","8967670"
"108675","LG하우시스우","KOSPI",,"32750","600","1.87","32150","33050","31750","10691","347518850","33808807500","1032330"
"037560","LG헬로비전","KOSPI",,"3880","10","0.26","3865","3890","3860","204945","794491750","300493836200","77446865"
"051910","LG화학","KOSPI",,"824000","11000","1.35","813000","824000","805000","339889","273851447000","58168090632000","70592343"
"051915","LG화학우","KOSPI",,"381500","4500","1.19","374500","381500","371500","42173","15922182500","2933277200000","7688800"
"079550","LIG넥스원","KOSPI",,"30500","350","1.16","30150","30800","29950","140777","4293942550","671000000000","22000000"
"006260","LS","KOSPI",,"71400","-800","-1.11","72100","72200","71100","224254","16037742300","2299080000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"63100","1900","3.10","62100","63400","61400","199280","12512546500","1893000000000","30000000"
"000680","LS네트웍스","KOSPI",,"2690","30","1.13","2635","2710","2605","223625","597074435","211980113040","78803016"
"229640","LS전선아시아","KOSPI",,"7780","-40","-0.51","7880","7880","7730","230379","1791730480","238261558620","30624879"
"023150","MH에탄올","KOSPI",,"8410","-80","-0.94","8470","8510","8390","35521","299342040","62053403660","7378526"
"065150","MP그룹","KOSDAQ","투자주의환기종목(소속부없음)","1100","25","2.33","1075","1135","1075","1309431","1453448075","136879571400","124435974"
"219550","MP한강","KOSDAQ","중견기업부","1385","45","3.36","1325","1420","1305","1750004","2411337615","89466843615","64596999"
"035420","NAVER","KOSPI",,"292500","9500","3.36","285000","293000","284000","1190327","345787662000","48047043037500","164263395"
"160550","NEW","KOSDAQ","중견기업부","7520","670","9.78","7040","7880","7030","4850405","35643229600","209853917120","27906106"
"053290","NE능률","KOSDAQ","벤처기업부","2845","45","1.61","2800","2865","2800","38235","108077580","47017343415","16526307"
"181710","NHN","KOSPI",,"74600","1600","2.19","73300","75600","73100","178678","13346485000","1459550865000","19565025"
"104200","NHN벅스","KOSDAQ","중견기업부","5370","70","1.32","5190","5400","5190","20020","106526290","79623943500","14827550"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부","68500","2000","3.01","66200","70000","66200","387912","26736451000","1573540420500","22971393"
"005940","NH투자증권","KOSPI",,"11300","150","1.35","11050","11350","11000","1227371","13741008250","3179920423100","281408887"
"005945","NH투자증권우","KOSPI",,"8760","0","0.00","8680","8790","8660","198624","1730239410","165309679680","18870968"
"338100","NH프라임리츠","KOSPI",,"4265","-5","-0.12","4265","4270","4250","66767","284352960","79584900000","18660000"
"034310","NICE","KOSPI",,"19450","-100","-0.51","19500","19650","19100","51692","997436550","736810735000","37882300"
"030190","NICE평가정보","KOSDAQ","우량기업부","24800","1100","4.64","23700","25300","23700","266970","6588002900","1505727536000","60714820"
"008260","NI스틸","KOSPI",,"2565","25","0.98","2560","2570","2505","143343","365223700","73359300105","28600117"
"004250","NPC","KOSPI",,"3280","-20","-0.61","3300","3305","3260","52959","173921400","120441600000","36720000"
"004255","NPC우","KOSPI",,"2285","0","0.00","2275","2290","2275","2196","5017630","12064800000","5280000"
"010060","OCI","KOSPI",,"93000","1200","1.31","89300","94400","88800","972340","89520255600","2217991503000","23849371"
"078590","OQP","KOSDAQ","관리종목(소속부없음)","5130","90","1.79","5240","5310","4980","3063404","15819961625","403857387810","78724637"
"178920","PI첨단소재","KOSDAQ","우량기업부","37000","350","0.95","36650","37350","36350","200151","7402873650","1086553914000","29366322"
"024940","PN풍년","KOSDAQ","벤처기업부","3935","135","3.55","3805","3960","3805","71726","279459855","39350000000","10000000"
"005490","POSCO","KOSPI",,"272000","2000","0.74","270000","274000","266500","338015","91822049000","23714819120000","87186835"
"218410","RFHIC","KOSDAQ","우량기업부","44650","-50","-0.11","44750","45150","43700","430658","19175409700","1064796233000","23847620"
"091340","S&K폴리텍","KOSDAQ","중견기업부","5230","30","0.58","5190","5280","5150","60446","315162180","61210460830","11703721"
"100840","S&TC","KOSPI",,"15650","0","0.00","15650","15700","15450","14843","231085700","117480027150","7506711"
"064960","S&T모티브","KOSPI",,"49400","350","0.71","49350","50000","49100","139166","6892541000","722382918400","14623136"
"003570","S&T중공업","KOSPI",,"5890","120","2.08","5780","5900","5770","52966","309143700","195858385330","33252697"
"036530","S&T홀딩스","KOSPI",,"14900","100","0.68","14850","15200","14700","11418","169772950","242927901400","16303886"
"010950","S-Oil","KOSPI",,"69200","1200","1.76","68200","69300","67700","288201","19767647900","7790729206400","112582792"
"010955","S-Oil우","KOSPI",,"38550","250","0.65","38500","38950","38200","8366","322126500","155045285850","4021927"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부","1285","20","1.58","1265","1310","1255","6924453","8887057345","208255548875","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","7990","-40","-0.50","8050","8120","7950","21958","175082840","192143839600","24048040"
"034120","SBS","KOSPI",,"23550","-150","-0.63","24500","24800","23450","643986","15618480600","429848306100","18252582"
"101060","SBS미디어홀딩스","KOSPI",,"1860","10","0.54","1860","1870","1830","173811","322272515","260206913400","139896190"
"046140","SBS콘텐츠허브","KOSDAQ","중견기업부","6310","110","1.77","6260","6430","6200","189969","1197763330","135435032050","21463555"
"036120","SCI평가정보","KOSDAQ","중견기업부","4435","90","2.07","4360","4500","4320","838102","3697424250","157442500000","35500000"
"099220","SDN","KOSDAQ","중견기업부","3690","85","2.36","3605","3740","3550","1358127","4991698130","177779454660","48178714"
